text,label,source,writing_style
عاهرة من عاهرات ابليس🔥,negative,kaggle_moroccan_sentiment,mixed
Raw3a bravo,positive,kaggle_moroccan_sentiment,mixed
السؤال لماذا كل مرك تعاد الكرة من إحراق و إختطاف و سرقة و مازال المغرب يصدر لهذه الدولة بحيث لا تستطيع تأمين لا بلدها و لا حتى طرقاتها و تعاودون الكرة مرة أخرى و نتلقى نفس الاخبار … فهل بلدنا متساهل لهذه الدرجة مع الاجانب… و لماذا لا يوقفون التصدير نهائيا لدول جنوب الصحراء… و معلومة أخيرة الصحراء المغربية لا تحتاج لهذه الدول فهي بيد مجلس الامن الاميركي فكفى خوفا من و تساهلا مع هاته الدول و العزة للوطن …,negative,hespress_manual_khalid,Arabic
Bravo walid tounssi,positive,kaggle_moroccan_sentiment,mixed
مااحلاها ريم الرياحي زين و تربية و برستيج ان شاء الله ربي يوفقها و نشوفوها في حاجة حلوه في رمضان سنه 😘,positive,kaggle_moroccan_sentiment,mixed
لن تسطتيعي إغرائي يا سافلة,negative,kaggle_moroccan_sentiment,mixed
Bravo bravo bravo très bien continu amiin rabi m3ak yeser yeser rajel amiin w motrobi,positive,kaggle_moroccan_sentiment,mixed
هي و شنوه المشكل علاش تقلنا احنا هههههههه ملا تفاهة,negative,kaggle_moroccan_sentiment,mixed
tbarkalha a3lik walha bravooooo hanan ;),positive,kaggle_moroccan_sentiment,mixed
يا صطوفة يا معلم ابعثهم الكل,positive,kaggle_moroccan_sentiment,mixed
أنا شريتو لبارح طيب بيه الحريرا دغيا طابت زوين,positive,huggingface_darija_reviews,Arabic
Wled  7oumti   w bravo wlh   :),positive,kaggle_moroccan_sentiment,mixed
نسبة مشاهدة كبيرة رغم التشويش الى صار ...برافو واصل,positive,kaggle_moroccan_sentiment,mixed
بعد عامين من الإستخدام سوف تضيع شاشته بسبب الخيال shadow وهذا العيب ديال هواتف السامسونج العالية الجودة بالمقارنة مع الشركات الأخرى، وفي الأخير للمعلومة فالتصوير الليلي بهذا الهاتف العملاق مخيب للأسف كما عهدنا في جل هواتف السامسونج الباهضة الثمن.,negative,huggingface_darija_reviews,Arabic
مفيدة الفاجرة مسلسل شبه ارهابي,negative,kaggle_moroccan_sentiment,mixed
Mamst waldh hal jomhour ettafah,negative,kaggle_moroccan_sentiment,mixed
Bsara7a 3jebni mae9fou fi mawthou3 lmathaliya ljensiya,positive,kaggle_moroccan_sentiment,mixed
brabi ken fema kilma ghir msata 9ouloli bil wa3jen bil wa3jen jibbbb jdida rak walit carte ma7rou9a :(,negative,kaggle_moroccan_sentiment,mixed
تفوه عليها وعلي جابها خسارت رجالك يا تونس ملا منظر الله لتربح إلي جابها وقدمها على أنها فنانة 😝😝😝,negative,kaggle_moroccan_sentiment,mixed
ممتازة ومتمكنة في التمثيل لكن نريدوا الجديد,positive,kaggle_moroccan_sentiment,mixed
يعجبني دور بسام الحمراوي برافو,positive,kaggle_moroccan_sentiment,mixed
كتصيفط خارج البلاد,neutral,huggingface_darija_reviews,Arabic
tafhiin....,negative,kaggle_moroccan_sentiment,mixed
El kapo,positive,kaggle_moroccan_sentiment,mixed
محلاها البنية و فيه البركة,positive,kaggle_moroccan_sentiment,mixed
خليه شوية على الطبيع ومسحي بشيفون فازك,neutral,huggingface_darija_reviews,Arabic
محلاه محلاه ياخي باكو جي ولا سرفيس كيسان تقول باش يدخلوه معاهم في الجهاز، الطفل يعرف يغني و محترم و ربي يعينو فقط،,positive,kaggle_moroccan_sentiment,mixed
وجوه النحس .كروك .ملهات,negative,kaggle_moroccan_sentiment,mixed
تعرفو كرهتوني في قنات تونسي برمجكم اخي اخي بكل مصظين برشا,negative,kaggle_moroccan_sentiment,mixed
حصة راقية بأتم معنا الكلمة و ريم زادتها رقي برافو,positive,kaggle_moroccan_sentiment,mixed
Allah latrab7ek malla chlayk wo mal la rhout,negative,kaggle_moroccan_sentiment,mixed
أقوى لقطة في الحلقة بصراحة     برافو ياسين,positive,kaggle_moroccan_sentiment,mixed
Zina dima 3ala tbi3etha w spontané te3jebni barcha,positive,kaggle_moroccan_sentiment,mixed
Derwich  yedderwich,negative,kaggle_moroccan_sentiment,mixed
نمووووووت فيييييه,positive,kaggle_moroccan_sentiment,mixed
كيف سيدي كيف جوادو كيف المنشط و بية وشكيب مامسطكم كلكم,negative,kaggle_moroccan_sentiment,mixed
L cameras nefs l hardware dial 21 tbdel ghir l processing !!!,positive,huggingface_darija_reviews,Arabizi
أكبر طحان هذا رضع في الحليب والله.بوبه كان طحان كبير في تجمعو الناس كل تعرف في قابس وحنا من تشرفوش بيه فرخ ميبون تفوه,negative,kaggle_moroccan_sentiment,mixed
فليم زوين 🥰🥀💯,positive,huggingface_darija_reviews,Arabic
فنان متربي ومتخلق حتى وقتلي كان  اغنيه مزود  ربي يوفقو في طريقو الجديد,positive,kaggle_moroccan_sentiment,mixed
3adiya,positive,kaggle_moroccan_sentiment,mixed
حلووووووووووو,positive,kaggle_moroccan_sentiment,mixed
ممثلة من الوزن الثقيل,positive,kaggle_moroccan_sentiment,mixed
Erahmoni akber rajel bravo,positive,kaggle_moroccan_sentiment,mixed
يامرتزقة ياخونة يادياثة ويا عهرات...,negative,kaggle_moroccan_sentiment,mixed
Merga,negative,kaggle_moroccan_sentiment,mixed
بصراحه ياسر تزوفير وقله احياء,negative,kaggle_moroccan_sentiment,mixed
لكن الفاصل طويلا جدا وقد امسط المسلسل,negative,kaggle_moroccan_sentiment,mixed
ريم الرياحي محترمة  😴😴😴,positive,kaggle_moroccan_sentiment,mixed
هذيكا المعلمة أنا نموت علها ونتمنی نحضرلها في مسرحية,positive,kaggle_moroccan_sentiment,mixed
Tfoooooooooooooooooh mosalsal ro5s w 5ziiiiiiiiih,negative,kaggle_moroccan_sentiment,mixed
جعفور يا معلم انت مثال للفنان التونسي الي نتمنوه اليوم,positive,kaggle_moroccan_sentiment,mixed
لازم يبدلو اسمو في المضمون وي سموه ليلى والعار على قنات كبير مثلى الحوار التونسي تستدعي هذا الشخص,negative,kaggle_moroccan_sentiment,mixed
البنات بنتي شي شهراين دبا او هيا طايبة ماخليت مادرت ليها او والو او مسيكينة تاتحك ليرعارفة شي حاجا تقولها ليا الله احفظكوم,neutral,huggingface_darija_reviews,Arabic
عليكم اللعنة عملتو العارًًًًًًًً,negative,kaggle_moroccan_sentiment,mixed
Bsaraha baya masta w yeser tetsanaa ya hasra kif kenet,negative,kaggle_moroccan_sentiment,mixed
لواط وتحليل شرب الخمر وتشكيك فالنص القرآني لا حول ولا قوة إلا بالله اللهم لا تجعلنا مع القوم الفاسدين,negative,kaggle_moroccan_sentiment,mixed
"M3alem sa,7bi",positive,kaggle_moroccan_sentiment,mixed
tfoooh 3la elkomaj mta3kom ganat ekmaj,negative,kaggle_moroccan_sentiment,mixed
برافو شكيب,positive,kaggle_moroccan_sentiment,mixed
Bravo ناجي جلول,positive,kaggle_moroccan_sentiment,mixed
مسلسل ممتاز ثقافي عائلي,positive,kaggle_moroccan_sentiment,mixed
شريتو لبارح كيطلق ريحة خانزة,negative,huggingface_darija_reviews,Arabic
محلاكم يا ولاد موفيد,positive,kaggle_moroccan_sentiment,mixed
تافه ركيك و بليد و مش متربي,negative,kaggle_moroccan_sentiment,mixed
ماشاء الله يعطيك الصحة…,positive,kaggle_moroccan_sentiment,mixed
معزو هالفنان برافووووو,positive,kaggle_moroccan_sentiment,mixed
برجولية فنان,positive,kaggle_moroccan_sentiment,mixed
وحدو في الهشاشة,positive,kaggle_moroccan_sentiment,mixed
whdék ya daléjiii wécha3b m3akkk ya stoufaa,positive,kaggle_moroccan_sentiment,mixed
يعيش بتفهات لانه ببساطة تافه,negative,kaggle_moroccan_sentiment,mixed
jeb rabi tla3 thema rajel fi plateau bravooooo walid,positive,kaggle_moroccan_sentiment,mixed
Men ahsen lmomathlet fi tounes wbitawfi9,positive,kaggle_moroccan_sentiment,mixed
Manti9ouuuuuuch.,negative,kaggle_moroccan_sentiment,mixed
راجل طيب فوزي,positive,kaggle_moroccan_sentiment,mixed
مسخة خامجة تحسايب روحها مزيانة من توا تفيش علينا مالا كان تولي مشهورة آش تعمل ؟؟,negative,kaggle_moroccan_sentiment,mixed
مسلسل فاشل..انحطاط اخلاقي ..,negative,kaggle_moroccan_sentiment,mixed
برشا قحب,negative,kaggle_moroccan_sentiment,mixed
احلى جعفور,positive,kaggle_moroccan_sentiment,mixed
فنان أشرف من برشا فنانين,positive,kaggle_moroccan_sentiment,mixed
RAK MASET,negative,kaggle_moroccan_sentiment,mixed
أحلا صوره أرها في حياتي,positive,kaggle_moroccan_sentiment,mixed
ma9allllll 7ayakommmmmmmmmmmmmmm tifihhhhhhhhh,negative,kaggle_moroccan_sentiment,mixed
miskin  yelzmou  tbib  nafsani  3andou  moraki na9ss  kbiiiiiiiiiiiiiiiiiiiiiiiiiiiiiir,negative,kaggle_moroccan_sentiment,mixed
و يا منذر قفراش لن يعود بن علي و جماعته,negative,kaggle_moroccan_sentiment,mixed
Oui 3alemiya 😚😍😘💕,positive,kaggle_moroccan_sentiment,mixed
Kalb kbir,negative,kaggle_moroccan_sentiment,mixed
معلم ومايرشفها لحد,positive,kaggle_moroccan_sentiment,mixed
Bravo ye3jebni,positive,kaggle_moroccan_sentiment,mixed
معلم شيخنا .. واصل,positive,kaggle_moroccan_sentiment,mixed
برافو توفيق بردت على برشة قلوب,positive,kaggle_moroccan_sentiment,mixed
Tfouh 3lik w 3laha,negative,kaggle_moroccan_sentiment,mixed
تبارك الله ما شاءالله هذا الجلاليب واعربن,positive,huggingface_darija_reviews,Arabic
Ya em3lil ya walid,positive,kaggle_moroccan_sentiment,mixed
Nour chiba y'a m3almmm <3 <3,positive,kaggle_moroccan_sentiment,mixed
Ma7leh barhouma,positive,kaggle_moroccan_sentiment,mixed
التونسية دخلت في الحملة الانتخابية جهار في النهار تهز في الطحين لترويكا,negative,kaggle_moroccan_sentiment,mixed
مخيبها وممسطها محملتهاش وزيد من فوق ادافع على حاجة حرام زدت كرهتها جملا,negative,kaggle_moroccan_sentiment,mixed
a7la zina w a7la gasriniya,positive,kaggle_moroccan_sentiment,mixed
حسبي الله و نعم الوكيل فيك يا سامي الفهري,negative,kaggle_moroccan_sentiment,mixed
حثالة مثل هذا توفيق لا تربية ولا أخلاق مقرف,negative,kaggle_moroccan_sentiment,mixed
Bravo  mr le ministre!,positive,kaggle_moroccan_sentiment,mixed
NN masta hal9et lyoum,negative,kaggle_moroccan_sentiment,mixed
asssal,positive,kaggle_moroccan_sentiment,mixed
Waw Waw الله يرزقنا 🤲🤲🤲🤲🤲,positive,huggingface_darija_reviews,Arabic
bravoo semi,positive,kaggle_moroccan_sentiment,mixed
لعنة الله عليكم فى شهره المبارك,negative,kaggle_moroccan_sentiment,mixed
تعجبني,positive,kaggle_moroccan_sentiment,mixed
yezew mesiyesa fadina menha,negative,kaggle_moroccan_sentiment,mixed
كمشة بهايم في البرنامج، وينك يا شكيب يا معذبهم.,negative,kaggle_moroccan_sentiment,mixed
hhhh masseeet barchaaa,negative,kaggle_moroccan_sentiment,mixed
فكاهة و راب حاجة خارقة للعادة Bravo kafon ♥,positive,kaggle_moroccan_sentiment,mixed
للشهامة عنوان :D,positive,kaggle_moroccan_sentiment,mixed
Chnakrhek >:(,negative,kaggle_moroccan_sentiment,mixed
تحياتي برافوا,positive,kaggle_moroccan_sentiment,mixed
حقيقة شيء مخزي وعار على الامة العرية كل هذه التفاهات التي يقدمها اعﻻمها سواء في تونس او غيرها كل ما يبثونه من برامج ﻻيتناسب مع ما نحن فيه وﻻ يخدم قضيتنا التي تركناها وتفرغنا للمسلسﻻت التافهة والبرامج القذرة التي تنخر افكار شبابنا وعقول صغارنا وهذا ما يريده الغرب ان نبقى غافلين عما نحن فيه امتنا تشتت وثرواتنا تنهب  وشبابنا يقتل ويكفر في بعض تبا لهذا الاعﻻم ولهذه القنوات الفاسدة التي ﻻ تصلح لشيء اﻻ الى زرع الفتنة و اشاعة الفاحشة وتدمير القيم والاخﻻق.....,negative,kaggle_moroccan_sentiment,mixed
اتفوووووه على اولاد الرقاصة والي يتفرج فيهم,negative,kaggle_moroccan_sentiment,mixed
Masta 3l le5er 😒👎😑,negative,kaggle_moroccan_sentiment,mixed
موش عيب فيك عيب فلي عملك قيمة و ستدعك خطرك عار والمرأة التونسية بربي معاش تورين وجهك انتي طحت قبل ما تطلع,negative,kaggle_moroccan_sentiment,mixed
انا تعجبني برشا اما ياسر لا تخبش ولا دبش....تفلفل شوية يا الفة...,positive,kaggle_moroccan_sentiment,mixed
نحسها تافه وعيشه دورها,negative,kaggle_moroccan_sentiment,mixed
حلواااا ياسر السهريه الليله,positive,kaggle_moroccan_sentiment,mixed
كاملة لي زوين عندهم هو الواقي الشمسي اما كولشي غي ماركوتينغ,negative,huggingface_darija_reviews,Arabic
البرنامج هذا مايجيب كان الحثالة,negative,kaggle_moroccan_sentiment,mixed
محلاك يا راضية,positive,kaggle_moroccan_sentiment,mixed
Bravo lotfi (y) moumathel w comedy naje77 w mayhemek fi klem 7add rahom ghayrinn wasel,positive,kaggle_moroccan_sentiment,mixed
مزينة,positive,kaggle_moroccan_sentiment,mixed
الله يسخر الثمن مع المنتوج مزيان,positive,huggingface_darija_reviews,Arabic
"fffff 9emma,fi tafaha",negative,kaggle_moroccan_sentiment,mixed
"ساعة toop فالشكل و الناقة""",positive,huggingface_darija_reviews,Arabic
